fri_apv_cnt,mbp.hd_card_tms_mon_scls_sales_est_wkdy,
fri_cduse_amt,mbp.query_hive_16500,
fri_price,mbp.hd_card_tms_mon_scls_sales_est_wkdy,
fri_sale_amt,mbp.query_hive_16500,
fuel_saving_cost,indb.tmap_routehistory1,
gas_oil_date,indb.tmap_poimeta_monthly,
gas_oil_price,indb.tmap_poimeta_monthly,
gb_flag,indb.cms_subway_ru,
gen_info,indb.cms_subway_du,
gender,mbp.query_hive_20730,성
gendor,mbp.bloc_move_method,성
gndr_cd,mbp.hd_card_dms_mon_sales_est_det,
gps_flag,indb.cms_enb,
gpsversion,indb.tmap_rprsd,
green_house_gas_reduction,indb.tmap_routehistory1,
group_cd,indb.app_group,
group_name,indb.app_group,
grouptype,indb.tmap_rprsd,
gu,indb.cms_ru,
gu_cd,mbp.parking_index_vehicle_per,
gu_code,mbp.rto_census_adm,
gu_id,mbp.cust_info,
gu_name,mbp.rto_census_adm,
guamt,mbp.r114_shop_rent_so_area,
guamt_lwprc,mbp.r114_dmr_bz_area_price,
guamt_uplv,mbp.r114_dmr_bz_area_price,
gy_name,indb.cms_enb,
gy_sisul_code,indb.cms_enb,
gy_type,indb.cms_enb,
hcode,indb.tmap_poimeta_monthly,
hdcd_affs_cnt,mbp.hd_card_dms_mon_sales_est_sum_gb,
hdong_cd,indb.censors_emd_ingu,
hdong_nm,indb.censors_emd_ingu,
height,indb.cms_enb,
hh,mbp.query_hive_20730,시간
hhld_cnt,mbp.r114_dmr_offc_size,
hhld_xcus_sqmr,mbp.r114_dmr_offc_size,
hhldr_id,indb.td_zord_wlf_dc_cust_hst,
hipassflag,indb.tmap_rprsd,
ho_avg_pyng_prc,mbp.quarter_dmm_aphus_ho,
ho_no,mbp.hd_card_bizmstr_close_building,
holiday,indb.tmap_poimeta_monthly,대한민국 법정 휴일
home_adm_code,mbp.query_hive_20730,거주지 행정동 코드
home_rate,mbp.bloc_work_monthly,거주지 가중치
hosu,mbp.cust_info,
hotel_grade,indb.tmap_poimeta_monthly,호텔 등급
hous,mbp.quarter_biz_income,
hs_num,mbp.r114_dmr_shop_owner,
hsland_seq,mbp.r114_dmr_housing,
